geo_id,sqft,usage,usage_med,usage_med_sqft,usetype,year,name,solar_potential,pop,usage_percap
cities_118,187076,2157917.0000,7372,4.3322,condo,2016,grand terrace,NA,NA,NA
cities_118,133259,masked,masked,masked,industrial,2016,grand terrace,NA,NA,masked
cities_118,124338,masked,masked,masked,institutional,2016,grand terrace,NA,NA,masked
cities_118,887588,4616679.5000,14988,5.4340,multi_family,2016,grand terrace,NA,NA,NA
cities_118,56585,masked,masked,masked,other,2016,grand terrace,NA,NA,masked
cities_118,190066,masked,masked,masked,residential_other,2016,grand terrace,NA,NA,masked
cities_118,0,masked,masked,masked,residential_uncat,2016,grand terrace,NA,NA,masked
cities_118,5973257,34149392.5000,8317,4.9687,res_total,2016,grand terrace,NA,11832,2886.1894
cities_118,4708527,24745119.0000,8283,4.9660,single_family,2016,grand terrace,NA,NA,NA
cities_118,0,masked,masked,masked,uncat,2016,grand terrace,NA,NA,masked
cities_119,28626,masked,masked,masked,agriculture,2016,hesperia,NA,NA,masked
cities_119,5353118,85902131.0000,40918,8.2694,commercial,2016,hesperia,NA,NA,NA
cities_119,203861,965691.0000,7093,4.4854,condo,2016,hesperia,NA,NA,NA
cities_119,1859458,38699457.0000,33649.5,5.3643,industrial,2016,hesperia,NA,NA,NA
cities_119,584477,15687721.0000,35577,12.1054,institutional,2016,hesperia,NA,NA,NA
cities_119,2971851,17853116.0000,12179,5.8188,multi_family,2016,hesperia,NA,NA,NA
cities_119,1028644,3604107.0000,7722,NA,other,2016,hesperia,NA,NA,NA
cities_119,5297244,12924159.7500,5833,5.6274,residential_other,2016,hesperia,NA,NA,NA
cities_119,0,2031614.0000,NA,NA,residential_uncat,2016,hesperia,NA,NA,NA
cities_119,48275856,218473744.7500,7413,4.4077,res_total,2016,hesperia,NA,89517,2440.5839
cities_119,39802900,184699164.0000,7392,4.3616,single_family,2016,hesperia,NA,NA,NA
cities_119,0,masked,masked,masked,uncat,2016,hesperia,NA,NA,masked
cities_12,NA,NA,NA,NA,agriculture,2016,claremont,NA,NA,NA
cities_12,3461145,masked,masked,masked,commercial,2016,claremont,NA,NA,masked
cities_12,1266265,7511757.0000,6174,4.0416,condo,2016,claremont,NA,NA,NA
cities_12,808340,11225160.0000,240679,7.2481,industrial,2016,claremont,NA,NA,NA
cities_12,1368297,masked,masked,masked,institutional,2016,claremont,NA,NA,masked
cities_12,2125045,7287848.0000,7369,2.6769,multi_family,2016,claremont,NA,NA,NA
cities_12,8327,masked,masked,masked,other,2016,claremont,NA,NA,masked
cities_12,340077,9398668.5000,8655,4.1332,residential_other,2016,claremont,NA,NA,NA
cities_12,0,5555191.5000,NA,NA,residential_uncat,2016,claremont,NA,NA,NA
cities_12,20146073,97976791.0000,7707,3.9996,res_total,2016,claremont,NA,35484,2761.1541
cities_12,16414686,68223326.0000,7927,4.0312,single_family,2016,claremont,NA,NA,NA
cities_12,0,masked,masked,masked,uncat,2016,claremont,NA,NA,masked
cities_120,2119,masked,masked,masked,agriculture,2016,highland,NA,NA,masked
cities_120,1313793,33830206.0000,23110,13.3400,commercial,2016,highland,NA,NA,NA
cities_120,6241492,25585025.0000,8199,3.9569,condo,2016,highland,NA,NA,NA
cities_120,215457,masked,masked,masked,industrial,2016,highland,NA,NA,masked
cities_120,224497,masked,masked,masked,institutional,2016,highland,NA,NA,masked
cities_120,1722044,11969719.5000,10613,7.5346,multi_family,2016,highland,NA,NA,NA
cities_120,149542,11688217.5000,7888,NA,other,2016,highland,NA,NA,NA
cities_120,901088,4324198.0000,9486,13.0638,residential_other,2016,highland,NA,NA,NA
cities_120,0,1636711.5000,NA,NA,residential_uncat,2016,highland,NA,NA,NA
cities_120,23185101,117377406.0000,7879,4.8476,res_total,2016,highland,NA,54032,2172.3683
cities_120,14320477,73861752.0000,7701,5.0564,single_family,2016,highland,NA,NA,NA
cities_120,0,1528029.0000,NA,NA,uncat,2016,highland,NA,NA,NA
cities_121,5956,masked,masked,masked,agriculture,2016,loma linda,NA,NA,masked
cities_121,1044651,31472373.0000,107777.5,20.1085,commercial,2016,loma linda,NA,NA,NA
cities_121,2201064,11013573.0000,6468,3.7953,condo,2016,loma linda,NA,NA,NA
cities_121,526346,masked,masked,masked,industrial,2016,loma linda,NA,NA,masked
cities_121,322692,masked,masked,masked,institutional,2016,loma linda,NA,NA,masked
cities_121,2443170,15444617.5000,12921,6.2872,multi_family,2016,loma linda,NA,NA,NA
cities_121,7699,masked,masked,masked,other,2016,loma linda,NA,NA,masked
cities_121,360560,masked,masked,masked,residential_other,2016,loma linda,NA,NA,masked
cities_121,0,masked,masked,masked,residential_uncat,2016,loma linda,NA,NA,masked
cities_121,10910647,59165938.0000,7582,4.2129,res_total,2016,loma linda,NA,23648,2501.9426
cities_121,5905853,25776327.5000,7676,4.2206,single_family,2016,loma linda,NA,NA,NA
cities_121,0,masked,masked,masked,uncat,2016,loma linda,NA,NA,masked
cities_122,2752,masked,masked,masked,agriculture,2016,montclair,NA,NA,masked
cities_122,4535142,69735960.5000,55047.5,7.7878,commercial,2016,montclair,NA,NA,NA
cities_122,932843,5476579.0000,5788,4.1301,condo,2016,montclair,NA,NA,NA
cities_122,1831097,20440648.0000,31847,4.1393,industrial,2016,montclair,NA,NA,NA
cities_122,304272,masked,masked,masked,institutional,2016,montclair,NA,NA,masked
cities_122,2127946,12469685.0000,14335,4.7800,multi_family,2016,montclair,NA,NA,NA
cities_122,19145,masked,masked,masked,other,2016,montclair,NA,NA,masked
cities_122,1391598,6599517.0000,170432,60.3663,residential_other,2016,montclair,NA,NA,NA
cities_122,0,1611271.0000,NA,NA,residential_uncat,2016,montclair,NA,NA,NA
cities_122,12449222,66911373.5000,7056.5,4.7686,res_total,2016,montclair,NA,38768,1725.9434
cities_122,7996835,40754321.5000,6979,4.8498,single_family,2016,montclair,NA,NA,NA
cities_122,0,325707.0000,NA,NA,uncat,2016,montclair,NA,NA,NA
